Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,LeBron James,20,CLE,SF,80,80,3388,0.472,12.1,0.817,0.311,0.137,0.121,0.248,0.183,0.499,0.725,0.37,0.324,0.373,0.351,0.445,0.5,0.076,126,0.185,0.491,0,0,MVP-6ASNBA2,jamesle01
2,Stephon Marbury,27,NYK,PG,82,82,3281,0.462,12.1,0.752,0.363,0.108,0.061,0.219,0.248,0.497,0.562,0.44,0.488,0.422,0.354,0.213,0.635,0.001,1,0.089,0.414,1,0,,marbust01
3,Gilbert Arenas,23,WAS,PG,80,80,3274,0.431,15.2,0.631,0.233,0.11,0.109,0.179,0.369,0.469,0.645,0.251,0.38,0.429,0.365,0.257,0.668,0.018,27,0.137,0.26,3,1,MVP-12ASNBA3,arenagi01
4,Joe Johnson,23,PHO,SF,82,82,3240,0.461,15.3,0.686,0.178,0.128,0.12,0.26,0.314,0.454,0.557,0.51,0.451,0.356,0.478,0.278,0.949,0.014,15,0.524,0.515,10,1,,johnsjo02
5,Tracy McGrady,25,HOU,SF,78,78,3182,0.431,15.5,0.738,0.225,0.066,0.081,0.365,0.262,0.468,0.572,0.364,0.385,0.441,0.326,0.358,0.514,0.042,62,0.051,0.318,6,0,MVP-7ASNBA3,mcgratr01
6,Allen Iverson,29,PHI,PG,75,75,3174,0.424,12.2,0.814,0.313,0.095,0.154,0.252,0.186,0.451,0.548,0.434,0.386,0.376,0.308,0.169,0.567,0.002,3,0.098,0.424,1,0,MVP-5DPOY-11ASNBA1,iversal01
7,Shawn Marion,26,PHO,PF,81,81,3146,0.476,11.4,0.735,0.344,0.126,0.164,0.1,0.265,0.526,0.667,0.417,0.434,0.333,0.334,0.681,0.965,0.119,143,0.393,0.328,0,0,MVP-14DPOY-5ASNBA3,mariosh01
8,Kevin Garnett,28,MIN,PF,82,82,3121,0.502,9.8,0.982,0.275,0.207,0.265,0.234,0.018,0.507,0.652,0.461,0.429,0.465,0.24,0.665,0.667,0.068,86,0,,1,0,MVP-11DPOY-9ASNBA2,garneke01
9,Mike Bibby,26,SAC,PG,80,80,3084,0.443,16.1,0.712,0.184,0.085,0.051,0.392,0.288,0.477,0.677,0.435,0.375,0.405,0.36,0.464,0.84,0,0,0.159,0.397,0,0,,bibbymi01
10,Ray Allen,29,SEA,SG,78,78,3064,0.428,15.8,0.628,0.185,0.103,0.138,0.201,0.372,0.459,0.606,0.364,0.398,0.415,0.376,0.311,0.804,0.021,27,0.185,0.369,5,0,MVP-9ASNBA2,allenra02
11,Tayshaun Prince,24,DET,SF,82,82,3039,0.487,10.6,0.857,0.339,0.16,0.126,0.233,0.143,0.512,0.653,0.461,0.413,0.393,0.341,0.585,0.979,0.081,73,0.536,0.365,0,0,DPOY-7,princta01
12,Dirk Nowitzki,26,DAL,PF,78,78,3020,0.459,14.5,0.842,0.181,0.072,0.203,0.386,0.158,0.47,0.637,0.452,0.41,0.427,0.399,0.491,0.802,0.035,48,0.105,0.333,2,0,MVP-3ASNBA1,nowitdi01
13,Chris Bosh,20,TOR,PF,81,81,3017,0.471,8.9,0.99,0.357,0.164,0.242,0.227,0.01,0.472,0.588,0.43,0.395,0.404,0.3,0.613,1,0.116,103,0.2,0.5,1,0,,boshch01
14,Elton Brand,25,LAC,PF,81,81,3001,0.503,8.1,0.998,0.332,0.237,0.291,0.137,0.002,0.504,0.643,0.478,0.442,0.343,0,0.641,,0.059,71,0.333,0,1,0,,brandel01
15,Steve Francis,27,ORL,PG,78,78,2978,0.423,11.9,0.905,0.323,0.06,0.172,0.349,0.095,0.436,0.565,0.325,0.38,0.364,0.299,0.248,0.447,0.038,45,0.213,0.444,1,0,,francst01
16,Dwyane Wade,23,MIA,SG,77,77,2974,0.478,8.3,0.966,0.441,0.149,0.135,0.241,0.034,0.485,0.587,0.401,0.343,0.429,0.289,0.251,0.308,0.095,114,0.222,0.1,3,1,MVP-8DPOY-21ASNBA2,wadedw01
17,Paul Pierce,27,BOS,SF,82,82,2960,0.455,13.5,0.761,0.28,0.084,0.134,0.262,0.239,0.481,0.627,0.33,0.39,0.421,0.37,0.404,0.778,0.029,32,0.182,0.321,1,0,AS,piercpa01
18,Antoine Walker,28,2TM,PF,77,77,2955,0.422,9.2,0.752,0.412,0.218,0.076,0.046,0.248,0.455,0.533,0.377,0.305,0.375,0.323,0.335,0.891,0.009,12,0.235,0.25,0,0,,walkean02
19,Antoine Walker,28,ATL,PF,53,53,2128,0.415,10,0.735,0.394,0.217,0.079,0.045,0.265,0.45,0.541,0.359,0.288,0.37,0.317,0.31,0.894,0.009,8,0.235,0.19,0,0,,walkean02
20,Antoine Walker,28,BOS,PF,24,24,827,0.442,8.4,0.799,0.462,0.22,0.069,0.049,0.201,0.467,0.512,0.425,0.36,0.389,0.342,0.397,0.88,0.011,4,0.233,0.471,0,0,,walkean02
21,Richard Hamilton,26,DET,SG,76,76,2926,0.44,11.8,0.898,0.248,0.12,0.261,0.269,0.102,0.455,0.59,0.396,0.442,0.369,0.305,0.574,1,0.017,19,0.508,0.367,0,0,,hamilri01
22,Chucky Atkins,30,LAL,PG,82,82,2903,0.426,18.1,0.5,0.187,0.043,0.054,0.216,0.5,0.466,0.576,0.41,0.347,0.411,0.387,0.344,0.903,0,0,0.218,0.354,9,0,,atkinch01
23,Desmond Mason,27,MIL,SF,80,71,2893,0.443,8.4,0.993,0.392,0.166,0.215,0.22,0.007,0.445,0.56,0.408,0.401,0.312,0.125,0.564,1,0.07,63,0.25,0,2,0,,masonde01
24,Amar'e Stoudemire,22,PHO,C,80,80,2889,0.559,7,0.988,0.46,0.209,0.155,0.165,0.012,0.564,0.708,0.412,0.449,0.459,0.188,0.597,0.667,0.195,237,0.188,0.333,3,0,MVP-9ASNBA2,stoudam01
25,Chauncey Billups,28,DET,PG,80,80,2866,0.442,16.8,0.576,0.205,0.043,0.113,0.216,0.424,0.454,0.503,0.385,0.437,0.431,0.426,0.339,0.727,0.002,2,0.163,0.444,1,0,,billuch01
26,Kurt Thomas,32,NYK,PF,80,80,2855,0.471,14,0.996,0.11,0.092,0.284,0.509,0.004,0.47,0.606,0.422,0.477,0.447,0.5,0.834,1,0.002,2,0.5,0.5,0,0,,thomaku01
27,Andre Miller,28,DEN,PG,82,82,2852,0.477,10,0.956,0.378,0.106,0.208,0.265,0.044,0.492,0.648,0.379,0.355,0.422,0.154,0.451,0.333,0.003,3,0.051,0,9,0,,millean02
28,Michael Redd,25,MIL,SG,75,75,2848,0.441,13.8,0.793,0.2,0.11,0.238,0.246,0.207,0.463,0.59,0.321,0.427,0.458,0.355,0.516,0.865,0.016,20,0.314,0.37,0,0,,reddmi01
29,Eddie Jones,33,MIA,SF,80,80,2839,0.428,16.3,0.534,0.223,0.063,0.078,0.17,0.466,0.477,0.617,0.481,0.297,0.374,0.372,0.684,0.993,0.021,16,0.319,0.361,1,0,,jonesed02
