Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Bill Russell,24,BOS,C,70,2979,5.5,12,0.457,3.1,5.2,0.598,19.5,2.7,1.9,14.1,MVP-2ASNBA1,russebi01
2,Bob Pettit,26,STL,PF,72,2873,9,20.5,0.438,8.4,11,0.759,14.8,2.8,2.5,26.4,MVP-1ASNBA1,pettibo01
3,Elgin Baylor,24,MNL,SF,70,2855,7.6,18.7,0.408,6.7,8.6,0.777,13.2,3.6,3.4,22,MVP-3ROY-1ASNBA1,bayloel01
4,Paul Arizin,30,PHW,SF,70,2799,8.1,18.9,0.431,7.5,9.3,0.813,8.2,1.5,3.4,23.8,MVP-5ASNBA2,arizipa01
5,Larry Costello,27,SYR,PG,70,2750,5.4,12.4,0.437,3.7,4.6,0.802,4.8,5,3.4,14.5,MVP-7AS,costela01
6,Gene Shue,27,DET,PG,72,2745,6.1,15.7,0.388,4.4,5.5,0.803,4.4,3,1.7,16.6,MVP-14AS,shuege01
7,Woody Sauldsberry,24,PHW,C,72,2743,6.6,18.1,0.363,1.4,2.3,0.625,10.8,0.9,3.6,14.6,AS,sauldwo01
8,Jack Twyman,24,CIN,SF,72,2713,9.4,22.4,0.42,5.8,7.4,0.783,8.7,2.8,3.7,24.6,MVP-10AS,twymaja01
9,Cliff Hagan,27,STL,SF,72,2702,8.6,18.9,0.456,5.5,7.1,0.774,10.4,3.3,3.7,22.7,MVP-9ASNBA2,hagancl01
10,Red Kerr,26,SYR,C,72,2671,6.8,15.4,0.441,3.8,4.9,0.766,13.6,1.9,2.5,17.3,AS,kerrre01
11,Dolph Schayes,30,SYR,PF,72,2645,6.9,17.7,0.387,7.2,8.3,0.864,13.1,2.4,3.8,20.9,MVP-6ASNBA2,schaydo01
12,Richie Guerin,26,NYK,SG,71,2558,6.2,14.7,0.424,5.7,7.1,0.802,7.3,5.1,3.6,18.2,MVP-11ASNBA2,gueriri01
13,Slater Martin,33,STL,PG,71,2504,3.5,10.2,0.347,2.8,3.7,0.776,3.6,4.8,3.3,9.9,ASNBA2,martisl01
14,Kenny Sears,25,NYK,PF,71,2498,7.1,14.4,0.49,7.3,8.5,0.861,9.5,2,3.4,21.4,MVP-8AS,searske01
15,Dick Garmaker,26,MNL,SG,72,2493,5.1,12.8,0.395,4.1,5.3,0.772,4.7,3,3.3,14.2,AS,garmadi01
16,Joe Graboski,29,PHW,PF,72,2482,5.7,16.2,0.353,3.9,5.2,0.75,10.9,2.1,3.6,15.3,,grabojo01
17,Bob Cousy,30,BOS,PG,65,2403,7.3,18.9,0.384,4.9,5.8,0.855,5.4,8.3,2,19.4,MVP-4ASNBA1,cousybo01
18,Bill Sharman,32,BOS,SG,72,2382,8.5,20.8,0.408,5.2,5.5,0.932,4.4,2.7,2.6,22.2,ASNBA1,sharmbi01
19,Walter Dukes,28,DET,C,72,2338,4.9,13.9,0.352,4.6,7,0.657,14.8,1,5.1,14.4,,dukeswa01
20,Tom Gola,26,PHW,SG,64,2333,4.8,11.9,0.401,4.3,5.5,0.787,11,4.2,3.7,13.9,MVP-11,golato01
21,Bucky Bockhorn,25,CIN,SG,71,2251,4.7,12.3,0.381,2.2,3.1,0.704,7.4,3.3,3.4,11.6,,bockhbu01
22,Jack McMahon,30,STL,SG,72,2235,4,11.1,0.358,1.5,2.5,0.615,2.6,4.8,3.6,9.5,,mcmahja01
23,Vern Mikkelsen,30,MNL,PF,72,2139,5.9,15.2,0.39,4.8,6,0.806,9.6,2.7,4.1,16.7,,mikkeve01
24,Tom Heinsohn,24,BOS,PF,66,2089,8,20.5,0.39,5.4,6.7,0.798,11,2.8,4.7,21.4,,heinsto01
25,Dick McGuire,33,DET,PG,71,2063,4,9.5,0.427,3.3,4.5,0.74,5,7.7,2.6,11.4,MVP-11AS,mcguidi01
26,Willie Naulls,24,NYK,SF,68,2061,7.1,18.7,0.378,4.5,5.4,0.83,12.6,1.8,4.1,18.7,,naullwi01
27,Phil Jordon,25,DET,PF,72,2058,7,16.9,0.413,4,5.3,0.762,10.4,1.5,3.4,18,,jordoph01
28,Frank Ramsey,27,BOS,SG,72,2013,6.8,18.1,0.378,6.1,7.8,0.782,8.8,2.6,4.8,19.8,,ramsefr01
29,Carl Braun,31,NYK,PG,72,1959,5.3,12.6,0.42,3.3,4,0.826,4.6,6.4,3.3,13.9,,braunca01
30,Ed Conlin,25,2TM,SG,72,1955,6.1,16.4,0.369,3.6,5,0.719,7.3,2.4,3.5,15.7,,conlied01
31,Ed Conlin,25,SYR,SG,57,1601,5.9,16.1,0.365,3.5,4.7,0.739,6.8,2.6,3.5,15.2,,conlied01
32,Ed Conlin,25,DET,SG,15,354,6.9,17.8,0.389,4.2,6.4,0.651,9.3,1.7,3.3,18,,conlied01
33,Larry Foust,30,MNL,C,72,1933,5.6,14.4,0.39,5.2,6.8,0.765,11.7,1.7,4.3,16.4,AS,foustla01
34,Jack George,30,2TM,PG,71,1881,4.5,12.9,0.346,2.9,3.9,0.754,5.6,4.2,2.9,11.8,,georgja01
35,Jack George,30,PHW,PG,46,1387,4.4,13,0.341,2.9,3.9,0.73,5.5,4.3,2.5,11.8,,georgja01
36,Jack George,30,NYK,PG,25,494,4.5,12.6,0.358,3.1,3.7,0.824,6,4,3.7,12.1,,georgja01
37,George Yardley,30,2TM,SF,61,1839,8.7,20.4,0.428,6.2,8,0.779,8.4,1.3,3.1,23.7,AS,yardlge01
38,George Yardley,30,DET,SF,46,1419,8.9,21.4,0.415,6.5,8,0.816,8.3,1,3.1,24.3,,yardlge01
39,George Yardley,30,SYR,SF,15,420,8.2,17.1,0.482,5.1,7.8,0.648,8.9,2.1,3.2,21.5,,yardlge01
40,Johnny McCarthy,24,CIN,PG,47,1827,4.8,12.9,0.373,2.3,3.4,0.667,4.5,4.4,3.1,11.9,,mccarjo01
41,Earl Lloyd,30,DET,SF,72,1796,4.7,13.4,0.349,2.7,3.6,0.753,10,1.8,5.8,12.1,,lloydea01
42,Al Bianchi,26,SYR,PG,72,1779,5.8,15.3,0.377,3,4.2,0.723,4,3.2,5.3,14.5,MVP-14,biancal01
43,Chuck Share,31,STL,C,72,1713,3.1,8,0.386,2.9,3.9,0.755,13.8,2.2,5.5,9.1,,sharech01
