Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Wilt Chamberlain,31,PHI,C,82,,3836,7.7,12.9,0.595,3.3,8.7,0.38,18.3,6.6,1.5,18.7,MVP-1ASNBA1,chambwi01
2,Jerry Lucas,27,CIN,PF,82,,3619,7,13.5,0.519,3.4,4.4,0.778,15.5,2.5,2.4,17.5,ASNBA1,lucasje01
3,Hal Greer,31,PHI,SG,82,,3263,8.6,17.9,0.478,4.7,6.1,0.769,4.9,4.1,3.2,21.8,ASNBA2,greerha01
4,Dave Bing,24,DET,PG,79,,3209,9.4,21.2,0.441,5.3,7.5,0.707,4.2,5.7,2.8,24,MVP-4ASNBA1,bingda01
5,Bill Bridges,28,STL,PF,82,,3197,5.2,11.4,0.462,3.9,5.5,0.717,12.4,2.8,4.1,14.4,AS,bridgbi01
6,Lenny Wilkens,30,STL,PG,82,,3169,6.2,14.2,0.438,6.2,8.1,0.768,5,7.7,2.9,18.6,MVP-2AS,wilkele01
7,Dave DeBusschere,27,DET,SF,80,,3125,6.6,14.9,0.442,3.3,5,0.664,12.5,2.1,3.5,16.5,AS,debusda01
8,Zelmo Beaty,28,STL,C,82,,3068,7.5,15.4,0.488,5.3,6.7,0.794,11.3,2,3.5,20.3,AS,beatyze01
9,Archie Clark,26,LAL,PG,81,,3039,7.4,15.5,0.48,4.2,5.7,0.74,4.1,4.2,2.8,19.1,AS,clarkar01
10,Elgin Baylor,33,LAL,SF,77,,3029,9,20.3,0.443,5.8,7.4,0.786,11.2,4.2,2.8,23.8,MVP-3ASNBA1,bayloel01
11,Earl Monroe,23,BAL,SG,82,,3012,8.9,19.6,0.453,6.1,7.8,0.781,5.6,4.2,3.4,23.8,ROY-1,monroea01
12,Bob Boozer,30,CHI,PF,77,,2988,7.5,15.2,0.492,5,6.4,0.768,9.1,1.5,2.8,19.9,AS,boozebo01
13,Bill Russell,33,BOS,C,78,,2953,4.4,10.5,0.425,3,5.6,0.537,17.7,4.4,3,11.9,ASNBA2,russebi01
14,Ray Scott,29,BAL,PF,81,,2924,6,14.6,0.412,4.3,5.5,0.779,13.7,2.1,3.1,16.4,,scottra01
15,John Havlicek,27,BOS,SG,82,,2921,8.2,19.1,0.429,4.5,5.6,0.812,6.7,4.7,2.9,21,ASNBA2,havlijo01
16,Willis Reed,25,NYK,PF,81,81,2879,8.2,16.8,0.49,4.6,6.4,0.721,13.4,2,4.3,21.1,ASNBA2,reedwi01
17,Tom Meschery,29,SEA,SF,82,,2857,6,12.7,0.469,3.1,4.3,0.707,10.6,2.4,4.1,15,,meschto01
18,Rudy LaRusso,30,SFW,PF,79,,2819,7.7,17.7,0.433,6.7,8.4,0.79,9.5,2.3,4.3,22,AS,larusru01
19,Jeff Mullins,25,SFW,SG,79,,2805,7.8,17.9,0.439,3.5,4.4,0.794,5.7,4.5,3.5,19.2,,mullije01
20,Bailey Howell,31,BOS,PF,82,,2801,8.3,17.2,0.481,4.3,5.9,0.727,10.3,1.7,3.7,20.8,,howelba01
21,Adrian Smith,31,CIN,SG,82,,2783,6.2,13.4,0.464,4.1,5,0.829,2.4,3.5,3.4,16.6,,smithad01
22,Oscar Robertson,29,CIN,PG,65,,2765,8.6,17.2,0.5,7.5,8.6,0.873,5.1,8.2,2.6,24.7,MVP-5ASNBA1,roberos01
23,Leroy Ellis,27,BAL,C,78,,2719,5,10.6,0.475,2.7,3.8,0.724,11.4,2.1,3.4,12.8,,ellisle01
24,Clyde Lee,23,SFW,C,82,,2699,5,11.9,0.417,3.1,4.5,0.684,15.2,1.8,4.4,13,AS,leecl01
25,Walt Bellamy,28,NYK,C,82,64,2695,6.8,12.6,0.541,4.7,7.1,0.662,12.8,2.2,3.5,18.3,,bellawa01
26,Walt Hazzard,25,SEA,PG,79,,2666,9.9,22.4,0.441,5.8,7.5,0.774,4.5,6.7,3.3,25.6,AS,abdulma01
27,Paul Silas,24,STL,PF,82,,2652,5.4,11.8,0.458,4.1,5.8,0.705,13,2.2,3.3,14.9,,silaspa01
28,Joe Caldwell,26,STL,SF,79,,2641,7.7,16.6,0.463,2.2,4,0.569,4.6,3.3,2.8,17.6,,caldwjo01
29,Connie Dierking,31,CIN,C,81,,2637,7.4,15.9,0.467,3.2,4.2,0.765,10.5,2.6,4.3,18.1,,dierkco01
30,Chet Walker,27,PHI,SF,82,,2623,7.4,16.1,0.46,5.3,7.3,0.726,8.3,2.2,3.5,20.1,,walkech01
31,Luke Jackson,26,PHI,PF,82,,2570,5.6,13,0.433,2.3,3.2,0.719,12.2,1.9,4,13.6,,jackslu01
32,Don Kojis,29,SDR,SF,69,,2548,7.5,16.8,0.446,4.2,5.8,0.726,10,2.5,3.7,19.2,AS,kojisdo01
33,Jim Washington,24,CHI,C,82,,2525,6,13,0.457,2.7,3.9,0.682,11.8,1.6,3.3,14.6,,washiji01
34,Toby Kimball,25,SDR,PF,81,,2519,5.1,12.8,0.396,2.6,4.4,0.592,13.5,2.1,3.9,12.7,,kimbato01
35,Happy Hairston,25,2TM,PF,74,,2517,6.9,14.1,0.487,5.2,7.5,0.699,8.8,1.4,2.8,19,,hairsha01
36,Happy Hairston,25,CIN,PF,48,,1625,7,14,0.503,4.5,6.6,0.686,7.9,1.3,2.8,18.5,,hairsha01
37,Happy Hairston,25,DET,PF,26,,892,6.6,14.4,0.459,6.5,9.1,0.717,10.6,1.5,2.9,19.8,,hairsha01
38,Dick Barnett,31,NYK,SG,81,81,2488,8.1,16.8,0.482,5,6.4,0.78,3.4,3.5,3.2,21.1,AS,barnedi01
39,John Tresvant,28,2TM,PF,85,,2473,5.8,12.6,0.457,3.6,5.6,0.651,10.3,2.3,5,15.2,,tresvjo01
