Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Truck Robinson,26,NOJ,PF,82,82,3638,7.4,16.7,0.444,3.6,5.7,0.64,2.9,9.8,12.7,1.7,0.7,0.8,3,2.6,18.4,MVP-8ASNBA1,robintr01
2,Randy Smith,29,BUF,SG,82,82,3314,8.6,18.4,0.465,4.8,6,0.8,1.2,2.2,3.4,5,1.9,0.1,3.1,2.4,22,AS,smithra01
3,Elvin Hayes,32,WSB,PF,81,,3246,7.1,15.6,0.451,3.6,5.7,0.634,3.7,8.2,11.9,1.7,1.1,1.8,2.5,3.5,17.7,AS,hayesel01
4,Dave Cowens,29,BOS,C,77,,3215,6.7,13.7,0.49,2.7,3.2,0.842,2.8,9.3,12.1,3.9,1.1,0.8,2.4,3.3,16.1,AS,cowenda01
5,Bob McAdoo,26,NYK,C,79,78,3182,9.2,17.7,0.52,5.3,7.3,0.727,2.7,8.8,11.4,3.4,1.2,1.4,3.9,3.4,23.7,MVP-10AS,mcadobo01
6,Bernard King,21,NJN,SF,79,,3092,9.3,19.4,0.479,3.6,5.4,0.677,3.1,5.7,8.7,2.2,1.4,0.4,3.6,3.5,22.2,ROY-3,kingbe01
7,Artis Gilmore,28,CHI,C,82,82,3067,8.3,14.8,0.559,5.5,7.9,0.704,3.7,8.8,12.6,3.1,0.5,2.1,4.3,3.1,22.1,MVP-8AS,gilmoar01
8,David Thompson,23,DEN,SG,80,,3025,9.8,18.9,0.521,6.2,7.9,0.778,1.9,2.8,4.6,4.3,1.1,1.2,2.9,2.5,25.8,MVP-3ASNBA1,thompda01
9,Rick Barry,33,GSW,SF,82,82,3024,9,20.1,0.451,4.5,4.9,0.924,0.9,4.5,5.3,5.3,1.9,0.5,2.7,2.2,22.6,AS,barryri01
10,Ricky Sobers,25,IND,PG,79,,3019,6.6,14.6,0.453,3.9,4.8,0.825,1.1,2.8,3.9,7,2,0.3,4.2,3.7,17.1,,soberri01
11,Scott Wedman,25,KCK,SF,81,,2961,7.4,14.5,0.509,2.7,3.1,0.87,1.8,3.9,5.6,2.4,1.2,0.3,1.9,2.9,17.4,,wedmasc01
