Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Kevin Durant,21,OKC,SF,82,82,3239,8.8,18.5,0.476,1.4,3.9,0.365,7.4,14.6,0.506,0.514,8.4,9.3,0.9,1.2,5.8,6.9,2.6,1.2,0.9,3,1.9,27.5,MVP-2ASNBA1,duranke01
2,Andre Iguodala,26,PHI,SF,82,82,3193,5.6,12.6,0.443,1.1,3.4,0.31,4.5,9.2,0.492,0.485,3.6,4.8,0.733,0.9,5,6,5.3,1.6,0.6,2.5,1.6,15.8,,iguodan01
3,Rudy Gay,23,MEM,SF,80,80,3175,6.8,14.6,0.466,0.7,2.3,0.327,6.1,12.3,0.492,0.491,3.4,4.5,0.753,1.3,4,5.4,1.7,1.3,0.7,1.9,2.3,17.8,,gayru01
4,Stephen Jackson,31,2TM,SG,81,81,3129,6.9,16.3,0.423,1.5,4.5,0.328,5.4,11.8,0.46,0.469,3.9,5,0.779,0.9,3.7,4.6,3.5,1.5,0.5,3,2.3,19.2,MVP-12,jacksst02
5,Stephen Jackson,31,GSW,PF,9,9,300,6.7,16,0.421,1.3,4.8,0.275,5.4,11.2,0.484,0.462,3.1,4.4,0.703,0.7,3.5,4.2,5,1.7,0.7,3.1,1.9,17.9,,jacksst02
6,Stephen Jackson,31,CHA,SG,72,72,2829,6.9,16.4,0.423,1.5,4.5,0.334,5.4,11.9,0.457,0.469,4,5.1,0.786,0.9,3.7,4.7,3.3,1.5,0.5,3,2.3,19.3,,jacksst02
7,Gerald Wallace,27,CHA,SF,76,76,3119,5.3,10.9,0.484,0.6,1.6,0.371,4.7,9.3,0.503,0.511,4.9,6.3,0.776,1.7,7.1,8.8,1.9,1.4,1,2.1,2.2,16,DPOY-3AS,wallage01
8,O.J. Mayo,22,MEM,SG,82,82,3113,6.3,13.7,0.458,1.6,4.1,0.383,4.7,9.6,0.49,0.516,2.5,3,0.809,0.7,2.9,3.6,2.8,1.1,0.2,2,2,16.6,,mayooj01
9,Zach Randolph,28,MEM,PF,81,81,3051,7.7,15.8,0.488,0.2,0.6,0.288,7.5,15.2,0.496,0.494,4.3,5.5,0.778,3.9,7.3,11.2,1.8,0.9,0.4,2.1,2.7,19.8,AS,randoza01
10,Jeff Green,23,OKC,PF,82,82,3043,5.7,12.7,0.453,1.2,3.7,0.333,4.5,9,0.503,0.502,2,2.6,0.74,1.3,4.5,5.8,1.6,1.2,0.9,1.6,2.6,14.7,,greenje02
11,Dirk Nowitzki,31,DAL,PF,81,80,3039,8.5,17.7,0.481,0.6,1.4,0.421,7.9,16.3,0.487,0.498,6.3,6.9,0.915,0.9,6.4,7.3,2.6,0.8,0.9,1.8,2.5,24,MVP-7ASNBA2,nowitdi01
12,Brook Lopez,21,NJN,C,82,82,3027,6.7,13.4,0.499,0,0,0,6.7,13.4,0.5,0.499,4.9,6.1,0.817,3.2,5.2,8.4,2.2,0.7,1.7,2.4,3,18.3,,lopezbr01
13,David Lee,26,NYK,C,81,81,3019,8.2,15,0.545,0,0.1,0,8.2,14.9,0.549,0.545,3.2,3.9,0.812,2.7,8.6,11.3,3.5,1,0.5,2.3,3.1,19.6,DPOY-17AS,leeda02
14,LeBron James,25,CLE,SF,76,76,2966,9.3,18.5,0.503,1.6,4.7,0.333,7.8,13.8,0.56,0.545,7.2,9.4,0.767,0.9,5.9,6.7,7.9,1.5,0.9,3.2,1.4,27.4,MVP-1DPOY-4ASNBA1,jamesle01
15,Rajon Rondo,23,BOS,PG,81,81,2963,5.6,11,0.508,0.2,1,0.213,5.4,10,0.536,0.517,2.1,3.4,0.621,1.2,3.2,4.4,9.6,2.3,0.1,3,2.4,13.5,DPOY-5AS,rondora01
16,David West,29,NOH,PF,81,81,2949,7.6,15,0.505,0.1,0.3,0.259,7.5,14.6,0.51,0.508,3.6,4.2,0.865,2,5.4,7.4,2.9,0.9,0.7,2.1,2.8,18.8,,westda01
17,LaMarcus Aldridge,24,POR,PF,78,78,2922,7.1,14.4,0.495,0.1,0.2,0.313,7.1,14.2,0.498,0.497,2.8,3.7,0.757,2.4,5.4,7.7,2,0.8,0.6,1.3,2.8,17.2,,aldrila01
18,Aaron Brooks,25,HOU,PG,82,82,2919,7.1,16.4,0.432,2.6,6.5,0.398,4.5,9.9,0.454,0.511,3,3.7,0.822,0.7,2,2.7,5.4,0.9,0.2,2.9,2.5,19.8,MIP-1,brookaa01
19,Boris Diaw,27,CHA,PF,82,82,2906,4.6,9.6,0.483,0.8,2.6,0.32,3.8,7,0.541,0.525,1.4,1.8,0.769,1.6,3.6,5.3,4,0.7,0.7,2.2,2.7,11.5,,diawbo01
20,Stephen Curry,21,GSW,PG,80,77,2896,6.6,14.2,0.462,2.1,4.7,0.437,4.5,9.5,0.474,0.535,2.2,2.5,0.885,0.6,3.8,4.4,5.9,1.9,0.2,3,3.1,17.4,ROY-2,curryst01
21,Joe Johnson,28,ATL,SG,76,76,2886,7.9,17.3,0.458,1.6,4.4,0.369,6.3,12.9,0.488,0.505,2.7,3.4,0.818,0.9,3.5,4.4,4.6,1,0.1,1.8,1.8,20.2,MVP-12ASNBA3,johnsjo02
22,Jason Kidd,36,DAL,PG,80,80,2881,3.5,8.4,0.423,2.2,5.2,0.425,1.3,3.2,0.42,0.554,1,1.2,0.808,0.6,5,5.6,9,1.8,0.4,2.4,1.8,10.3,AS,kiddja01
23,Josh Smith,24,ATL,PF,81,81,2871,6.3,12.5,0.505,0,0.1,0,6.3,12.4,0.508,0.505,3.3,5.3,0.618,2.8,6,8.8,4.3,1.6,2.2,2.5,3,15.9,DPOY-2,smithjo03
24,Derrick Rose,21,CHI,PG,78,78,2871,8.4,17.2,0.489,0.2,0.8,0.267,8.2,16.5,0.5,0.495,3.2,4.2,0.766,0.8,2.9,3.7,5.9,0.7,0.3,2.7,1.2,20.3,AS,rosede01
25,Al Horford,23,ATL,C,81,81,2845,5.9,10.7,0.551,0,0,1,5.9,10.7,0.551,0.552,2.7,3.4,0.789,3,7.1,10.1,2.4,0.7,1.2,1.5,2.8,14.5,AS,horfoal01
26,Dwight Howard,24,ORL,C,82,82,2843,6.5,10.6,0.612,0,0.1,0,6.5,10.5,0.617,0.612,6.1,10.3,0.592,3.6,10.1,13.7,1.8,0.9,2.9,3.5,3.6,19,MVP-4DPOY-1ASNBA1,howardw01
27,Amar'e Stoudemire,27,PHO,PF,82,82,2838,8.9,16,0.557,0,0.1,0.167,8.9,16,0.559,0.557,6.2,8,0.771,2.9,6.4,9.3,1,0.7,1.1,2.7,3.6,24.1,MVP-10ASNBA2,stoudam01
28,Kobe Bryant,31,LAL,SG,73,73,2835,9.1,19.9,0.456,1.3,3.8,0.329,7.8,16.1,0.487,0.488,5.6,6.9,0.811,1,4,5,4.6,1.4,0.3,3,2.4,25,MVP-3DPOY-12ASNBA1,bryanko01
29,John Salmons,30,2TM,SG,81,56,2824,5.6,12.6,0.441,1.5,3.9,0.382,4.1,8.7,0.468,0.501,3.2,3.9,0.83,0.4,3,3.4,2.8,1.3,0.3,1.6,2.1,15.9,,salmojo01
30,John Salmons,30,CHI,SG,51,28,1695,4.9,11.6,0.42,1.6,4.1,0.38,3.3,7.6,0.441,0.486,2.5,3.1,0.789,0.4,3.3,3.7,2.7,1.4,0.5,1.5,2.1,13.8,,salmojo01
